,Inverse Document Frequency
apostlaskrifter,-0.15415067982725836
apotek,-0.15415067982725836
apoteket,-0.15415067982725836
appelkastad,-0.15415067982725836
appelkastat,-0.15415067982725836
applåd,-0.15415067982725836
applåder,-0.15415067982725836
applådera,-0.15415067982725836
applåderna,-0.15415067982725836
applådåskan,-0.15415067982725836
aprikos,-0.15415067982725836
aprikoser,-0.15415067982725836
aprikosträd,-0.15415067982725836
april,-0.15415067982725836
aprilafton,-0.15415067982725836
apropå,-0.15415067982725836
aptit,-0.15415067982725836
aptiten,-0.15415067982725836
ar,-0.15415067982725836
arab,-0.15415067982725836
araber,-0.15415067982725836
arabien,-0.15415067982725836
arabisk,-0.15415067982725836
arabiska,-0.15415067982725836
arabkvinna,-0.15415067982725836
arbet,-0.15415067982725836
arbeta,-0.15415067982725836
arbetade,-0.15415067982725836
arbetades,-0.15415067982725836
arbetande,-0.15415067982725836
arbetar,-0.15415067982725836
arbetarbostad,-0.15415067982725836
arbetarbostäder,-0.15415067982725836
arbetarbostädernas,-0.15415067982725836
arbetare,-0.15415067982725836
arbetaren,-0.15415067982725836
arbetarhustrur,-0.15415067982725836
arbetarna,-0.15415067982725836
arbetarskarorna,-0.15415067982725836
arbetat,-0.15415067982725836
arbetats,-0.15415067982725836
arbete,-0.15415067982725836
arbeten,-0.15415067982725836
arbeterska,-0.15415067982725836
arbeterskan,-0.15415067982725836
arbeterskor,-0.15415067982725836
arbetet,-0.15415067982725836
arbetets,-0.15415067982725836
arbetsam,-0.15415067982725836
arbetsamhet,-0.15415067982725836
arbetsamma,-0.15415067982725836
arbetsamt,-0.15415067982725836
arbetsbrutna,-0.15415067982725836
arbetsdag,-0.15415067982725836
arbetsdagar,-0.15415067982725836
arbetsduglighet,-0.15415067982725836
arbetsfolk,-0.15415067982725836
arbetsfolket,-0.15415067982725836
arbetsfylld,-0.15415067982725836
arbetsfyllda,-0.15415067982725836
arbetsfält,-0.15415067982725836
arbetsfältet,-0.15415067982725836
arbetsför,-0.15415067982725836
arbetsförmågan,-0.15415067982725836
arbetsglädje,-0.15415067982725836
arbetshästarnas,-0.15415067982725836
arbetskarl,-0.15415067982725836
arbetskarlarna,-0.15415067982725836
arbetskläder,-0.15415067982725836
arbetskläderna,-0.15415067982725836
arbetskraft,-0.15415067982725836
arbetskraften,-0.15415067982725836
arbetsliv,-0.15415067982725836
arbetslokaler,-0.15415067982725836
arbetslust,-0.15415067982725836
arbetslusten,-0.15415067982725836
arbetslösa,-0.15415067982725836
arbetsmetoder,-0.15415067982725836
arbetsmyror,-0.15415067982725836
arbetsmänniska,-0.15415067982725836
arbetsnötta,-0.15415067982725836
arbetsok,-0.15415067982725836
arbetsområde,-0.15415067982725836
arbetsredskap,-0.15415067982725836
arbetsro,-0.15415067982725836
arbetsrocken,-0.15415067982725836
arbetsrum,-0.15415067982725836
arbetsrummet,-0.15415067982725836
arbetsstyrka,-0.15415067982725836
arbetssätt,-0.15415067982725836
arbetstiden,-0.15415067982725836
arbetstillfällen,-0.15415067982725836
arbetsvagn,-0.15415067982725836
arbetsvagnarna,-0.15415067982725836
arbetsveckan,-0.15415067982725836
arbetsveckor,-0.15415067982725836
arbetsådkon,-0.15415067982725836
arbetsåkdon,-0.15415067982725836
arbetsåkdonen,-0.15415067982725836
arc,-0.15415067982725836
arg,-0.15415067982725836
arga,-0.15415067982725836
argsint,-0.15415067982725836
argt,-0.15415067982725836
arhetsdräkt,-0.15415067982725836
ari,-0.15415067982725836
ariadne,-0.15415067982725836
arild,-0.15415067982725836
arimatia,-0.15415067982725836
arior,-0.15415067982725836
ark,-0.15415067982725836
arkader,-0.15415067982725836
arket,-0.15415067982725836
arm,-0.15415067982725836
arma,-0.15415067982725836
armar,-0.15415067982725836
armarna,-0.15415067982725836
armband,-0.15415067982725836
armbåga,-0.15415067982725836
armbågar,-0.15415067982725836
armbågarna,-0.15415067982725836
armbågen,-0.15415067982725836
arme,-0.15415067982725836
armen,-0.15415067982725836
armenier,-0.15415067982725836
armeniern,-0.15415067982725836
armeniernas,-0.15415067982725836
armeniska,-0.15415067982725836
armlängders,-0.15415067982725836
armod,-0.15415067982725836
armodets,-0.15415067982725836
